!SIL 1.0	SIL
<UNK> 1.0	SPN
AGO 1.0	AH G OW
STAIRWAY 1.0	S T EH R W EY
LIFE 1.0	L AY F
EVERYONE 1.0	EH V R IY W AH N
WHEREVER 1.0	W EH R EH V ER
SORROW 1.0	S AA R OW
LATER 1.0	L EY T ER
QUALIFICATIONS 1.0	K W AA L AH F AH K EY SH AH N Z
LIFT 1.0	L IH F T
DRIVEWAY 1.0	D R AY V W EY
GROWING 1.0	G R OW IH NG
KISSING 1.0	K IH S IH NG
KILLING 1.0	K IH L IH NG
SCAR 1.0	S K AA R
DEEPER 1.0	D IY P ER
AMONG 1.0	AH M AH NG
TINT 1.0	T IH N T
LAST 1.0	L AE S T
BASELINE 1.0	B EY S L AY N
POWER 1.0	P AW ER
DANCE 1.0	D AE N S
TRUMPETS 1.0	T R AH M P AH T S
WRECK 1.0	R EH K
TINY 1.0	T AY N IY
CAPTAINS 1.0	K AE P T AH N Z
MUCH 1.0	M AH CH
GRAYING 1.0	G R EY IH NG
BRUSH 1.0	B R AH SH
BEHAVIOR 1.0	B IH HH EY V Y ER
TOWN'S 1.0	T AW N Z
MO 1.0	M OW
AGE 1.0	EY JH
DISAPPEAR 1.0	D IH S AH P IH R
CHASE 1.0	CH EY S
ENDS 1.0	EH N D Z
PRETEND 1.0	P R IY T EH N D
NATURE 1.0	N EY CH ER
DESERVE 1.0	D IH Z ER V
HANG 1.0	HH AE NG
TWISTED 1.0	T W IH S T AH D
TAKES 1.0	T EY K S
HAND 1.0	HH AE N D
'BOUT 1.0	B AW T
MINDED 1.0	M AY N D AH D
AMSTERDAM 1.0	AE M S T ER D AE M
GO 1.0	G OW
AUTOMATIC 1.0	AO T AH M AE T IH K
PET 1.0	P EH T
EMOTION 1.0	IH M OW SH AH N
ROMANCE 1.0	R OW M AE N S
MAY 1.0	M EY
MAX 1.0	M AE K S
FOLLOWING 1.0	F AA L OW IH NG
OUTRUN 1.0	AW T R AH N
WRONGS 1.0	R AO NG Z
PERSON 1.0	P ER S AH N
NEAR 1.0	N IH R
MAD 1.0	M AE D
TELLING 1.0	T EH L IH NG
MAN 1.0	M AE N
FAITH 1.0	F EY TH
KUDOS 1.0	K UW D OW S
ATLANTIS 1.0	AE T L AE N T IH S
PARADE 1.0	P ER EY D
NORMAL 1.0	N AO R M AH L
COMPLAINING 1.0	K AH M P L EY N IH NG
SWEATER 1.0	S W EH T ER
BEG 1.0	B EH G
BED 1.0	B EH D
BEE 1.0	B IY
VOLUME 1.0	V AA L Y UW M
COULD'VE 1.0	K UH D AH V
SKIES 1.0	S K AY Z
APOLOGY 1.0	AH P AA L AH JH IY
STRUT 1.0	S T R AH T
BET 1.0	B EH T
THANK 1.0	TH AE NG K
DARKNESS 1.0	D AA R K N AH S
BELONG 1.0	B IH L AO NG
SIN 1.0	S IH N
ACHES 1.0	EY K S
COMPARES 1.0	K AH M P EH R Z
COMMON 1.0	K AA M AH N
FALLING 1.0	F AA L IH NG
BIRD 1.0	B ER D
COUNT 1.0	K AW N T
JACKSON 1.0	JH AE K S AH N
GLORY 1.0	G L AO R IY
WORRIES 1.0	W ER IY Z
SOLD 1.0	S OW L D
PATIENCE 1.0	P EY SH AH N S
APPEALING 1.0	AH P IY L IH NG
DELUSION 1.0	D IH L UW ZH AH N
SYSTEMS 1.0	S IH S T AH M Z
UNDER 1.0	AH N D ER
GENIE 1.0	JH IY N IY
BITTERSWEET 1.0	B IH T ER S W IY T
MOUNTING 1.0	M AW N T IH NG
GIVING 1.0	G IH V IH NG
TRAY 1.0	T R EY
HELLISH 1.0	HH EH L IH SH
RANGE 1.0	R EY N JH
AWFULLY 1.0	AA F L IY
HALLELUJAH 1.0	HH AE L AH L UW Y AH
MEMORIES 1.0	M EH M ER IY Z
NOT 1.0	N AA T
NOW 1.0	N AW
NOPE 1.0	N OW P
PILLOW 1.0	P IH L OW
PISS 1.0	P IH S
POURING 1.0	P AO R IH NG
INSTANT 1.0	IH N S T AH N T
WHATEVER'S 1.0	W AH T EH V ER Z
DON'T 1.0	D OW N T
BARROOM 1.0	B AA R R UW M
VELVET 1.0	V EH L V AH T
FUCK 1.0	F AH K
PLAYERS 1.0	P L EY ER Z
SMILE 1.0	S M AY L
CLUMSILY 1.0	K L AH M S AH L IY
VENUS 1.0	V IY N AH S
LOUDER 1.0	L AW D ER
GATES 1.0	G EY T S
HANDING 1.0	HH AE N D IH NG
DIXIE 1.0	D IH K S IY
DOING 1.0	D UW IH NG
EMBRACE 1.0	EH M B R EY S
WHO 1.0	HH UW
BLESSED 1.0	B L EH S T
SECRET 1.0	S IY K R AH T
TABLE 1.0	T EY B AH L
BURNED 1.0	B ER N D
WHY 1.0	W AY
KITCHEN 1.0	K IH CH AH N
GHOST 1.0	G OW S T
DIFFERENT 1.0	D IH F ER AH N T
SALTED 1.0	S AO L T AH D
NERVE 1.0	N ER V
DOIN' 1.0	D UW IH N
DIVE 1.0	D AY V
SEPARATIONS 1.0	S EH P ER EY SH AH N Z
STINGING 1.0	S T IH NG IH NG
JUMP 1.0	JH AH M P
MANTRA 1.0	M AE N T R AH
WEEKEND 1.0	W IY K EH N D
PLACED 1.0	P L EY S T
DOVE 1.0	D AH V
WANDER 1.0	W AA N D ER
EVEN 1.0	IY V IH N
WHENEVER 1.0	W EH N EH V ER
CLUTCH 1.0	K L AH CH
GRAVITATE 1.0	G R AE V IH T EY T
SWIMMING 1.0	S W IH M IH NG
THEY'VE 1.0	DH EY V
EARLY 1.0	ER L IY
BOTTLE 1.0	B AA T AH L
WAVES 1.0	W EY V Z
MAKING 1.0	M EY K IH NG
EVER 1.0	EH V ER
'ROUND 1.0	R AW N D
CANES 1.0	K EY N Z
BEGGED 1.0	B EH G D
TRIPLE 1.0	T R IH P AH L
CALLS 1.0	K AO L Z
FARM 1.0	F AA R M
LEAN 1.0	L IY N
UNFAIR 1.0	AH N F EH R
DAVID 1.0	D EY V IH D
SPARKLE 1.0	S P AA R K AH L
SINGLE 1.0	S IH NG G AH L
WRAP 1.0	R AE P
POSSIBLY 1.0	P AA S AH B L IY
FOR 1.0	F AO R
FEVER 1.0	F IY V ER
DRUM 1.0	D R AH M
ONO 1.0	OW N OW
LA 1.0	L AA
LO 1.0	L OW
MATINEE 1.0	M AE T IH N EY
HEAVENS 1.0	HH EH V AH N Z
SHARDS 1.0	SH AA R D Z
ONE 1.0	W AH N
FANTASY 1.0	F AE N T AH S IY
REACHED 1.0	R IY CH T
SURGERY 1.0	S ER JH ER IY
GIVES 1.0	G IH V Z
TRAPPED 1.0	T R AE P T
BEACHES 1.0	B IY CH AH Z
COMPROMISED 1.0	K AA M P R AH M AY Z D
A 1.0	AH
HEAD 1.0	HH EH D
CONSOLE 1.0	K AA N S OW L
WOULD 1.0	W UH D
KEYS 1.0	K IY Z
DRESSED 1.0	D R EH S T
HEAL 1.0	HH IY L
SUNSHINE 1.0	S AH N SH AY N
BLESS 1.0	B L EH S
HEAT 1.0	HH IY T
HEAR 1.0	HH IY R
BELONGING 1.0	B IH L AO NG IH NG
